Place,Counts,Latitude,Longitude
Armenia,7,40.126988,44.654205
Syria,2,34.756187,38.584691
Egypt,2,27.183784,29.6821
Rome,6,41.901809,12.495258
West,4,,
St. Paul,10,,
East,5,,
Euphrates,3,32.686568,44.29108
Samosata,2,,
Mananalis,1,,
Gnostic,1,,
Timothy,1,,
Sylvanus,1,,
Moses,1,,
Manes,1,,
Old,1,,
Ormusd,1,,
Constantine-Sylvanus,1,,
Asia,4,,
Colonia,2,,
Bellona,1,,
Gregory,1,,
Nicephorus,1,,
Theodora,1,,
France,4,46.503578,2.486512
Saracen,1,,
Nice,1,,
Nicomedia,1,,
Ancyra,1,,
St. John,1,,
Thrace,1,,
Melitene,1,,
Theodosiopolis,1,,
Europe,3,,
Mount Haemus,2,43.299102,18.495852
Philippopolis,1,,
Macedonia,1,,
Epirus,1,,
St. Sophia,1,,
Bulgaria,1,,
Croatia,1,,
Italy,3,,
Tartary,1,,
Hungary,1,,
Jerusalem,1,,
Venice,1,,
Adriatic,1,,
Sicily,1,,
Milan,1,,
Alps,1,,
Orleans,1,,
the Old Testament,1,,
Wickliff,1,,
England,2,,
Huss,1,,
Bohemia,1,,
Zuinglius,1,,
Luther,1,,
Eden,1,,
languor,1,,
Smithfield,1,,
Holland,1,,